row_index,Mfg_Part_Num,MANUFACTURER_NAME,BRAND_NAME,confidence_score,needs_human_review,review_reason,groundedness_score
301,1517603,United Window & Door Manufacturing,United Window & Door,1.0,False,Clean,1.0
302,1517604,United Window & Door Manufacturing,United Window & Door,1.0,False,Clean,1.0
303,1517605,United Window & Door Manufacturing,United Window & Door,1.0,False,Clean,1.0
304,FS C01 2004S,Velux America Inc,Velux America Inc,1.0,False,Clean,1.0
305,FS C04 2004S,Velux America Inc,Velux America Inc,1.0,False,Clean,1.0
306,FS C06 2004S,Velux America Inc,Velux America Inc,1.0,False,Clean,1.0
307,1501831,ProVia,PROVIA,1.0,False,Clean,1.0
308,1501832,ProVia,PROVIA,1.0,False,Clean,1.0
309,1515974,,United Window & Door,0.925,False,Clean,1.0
310,640383,Certainteed Gypsum,Certainteed Gypsum,1.0,False,Clean,1.0
311,653258,Certainteed Gypsum,Certainteed Gypsum,1.0,False,Clean,1.0
312,413S-DBA-36,Hager Hinge Co,HAGER,1.0,False,Clean,1.0
313,413S-DBA-72,Hager Hinge Co,HAGER,1.0,False,Clean,1.0
314,1511506,Huber Eng Wood LLC,Huber Eng Wood LLC,1.0,False,Clean,1.0
315,1513577,Westwood Lumber Sales,COMMODITY - UNBRANDED,1.0,False,Clean,1.0
316,1513578,Westwood Lumber Sales,COMMODITY - UNBRANDED,1.0,False,Clean,1.0
317,1513579,Westwood Lumber Sales,COMMODITY - UNBRANDED,1.0,False,Clean,1.0
318,1513580,Westwood Lumber Sales,COMMODITY - UNBRANDED,1.0,False,Clean,1.0
319,1501767,,,0.75,True,Missing Manufacturer/Brand,1.0
320,PP-8BL,Premier Metals,Premier Metals,1.0,False,Clean,1.0
321,PP-10BL,Premier Metals,Premier Metals,1.0,False,Clean,1.0
322,PP-12BL,Premier Metals,Premier Metals,1.0,False,Clean,1.0
323,PP-8CH,Premier Metals,Premier Metals,1.0,False,Clean,1.0
324,PP-10CH,Premier Metals,Premier Metals,1.0,False,Clean,1.0
325,PP-12CH,Premier Metals,Premier Metals,1.0,False,Clean,1.0
326,PP-8WH,Premier Metals,Premier Metals,1.0,False,Clean,1.0
327,PP-10WH,Premier Metals,Premier Metals,1.0,False,Clean,1.0
328,1504345,Palmer Donavin Mfg Company,Palmer Donavin Mfg Company,1.0,False,Clean,1.0
329,2733,Palmer Donavin Mfg Company,Palmer Donavin Mfg Company,1.0,False,Clean,1.0
330,7547,,,0.75,True,Missing Manufacturer/Brand,1.0
331,8912220,Boise Cascade Building Materials,JAMESHARDIE,1.0,False,Clean,1.0
